-6.40,-3.88,1
-7.81,-4.88,1
-6.04,-9.24,1
-2.61,-6.08,1
-4.74,-8.34,1
-5.84,-1.27,1
0.99,-5.73,1
-6.04,-7.07,1
-0.09,-7.06,1
-6.41,-3.69,1
-4.14,-5.22,1
-9.92,-4.98,1
-6.22,-5.83,1
-3.93,-3.15,1
-0.99,-7.12,1
-6.64,-7.20,1
-4.68,-1.33,1
-6.14,-4.86,1
-5.14,-3.58,1
-7.06,-4.60,1
-9.33,-6.21,1
-5.79,-7.13,1
-6.76,-1.25,1
-2.97,-3.22,1
-3.63,-2.26,1
-4.42,-5.39,1
-7.41,-2.99,1
-5.84,-7.24,1
-7.52,-0.79,1
-6.88,-4.15,1
-5.93,-6.35,1
-2.13,-7.63,1
-7.15,-3.48,1
-5.38,-4.90,1
-6.50,-7.68,1
0.19,-1.36,1
-6.34,-7.30,1
-8.74,-6.98,1
-2.73,-5.55,1
-2.99,-4.81,1
-2.95,-4.90,1
-5.51,-0.41,1
-4.44,-3.25,1
-6.78,-3.55,1
-2.45,-2.83,1
-3.92,-4.82,1
-7.16,-4.73,1
-3.81,-7.69,1
-5.33,-7.78,1
-8.98,-3.91,1
-6.20,-6.12,1
-5.23,-2.55,1
-4.10,-5.27,1
-4.72,-8.88,1
-5.85,-9.45,1
-7.73,-1.89,1
-2.07,-3.45,1
-4.85,-8.54,1
-4.36,-5.07,1
-6.08,-6.06,1
-1.30,-5.23,1
-3.55,-4.84,1
-3.17,-6.81,1
-7.40,-4.91,1
-1.61,-5.77,1
-5.20,-3.82,1
-3.61,-5.72,1
-6.34,-4.47,1
-4.23,-4.32,1
-6.54,-7.88,1
-5.17,-6.47,1
-4.59,-4.48,1
-9.25,-4.50,1
-2.83,-2.45,1
-2.61,-3.36,1
-4.26,-6.36,1
-2.52,-5.70,1
-9.23,-5.58,1
-7.07,-5.83,1
-5.62,-4.70,1
-2.61,-3.97,1
-7.63,-6.37,1
-2.59,-6.89,1
-2.30,-3.31,1
-7.24,-3.55,1
-4.57,-4.50,1
-5.69,-4.59,1
-4.11,-3.91,1
-7.39,-7.75,1
-6.14,-6.29,1
-0.50,-4.65,1
-4.56,-5.57,1
-7.10,-5.37,1
-5.27,-7.57,1
-1.60,-5.40,1
-3.98,-3.29,1
-3.93,-9.47,1
-5.59,-4.31,1
-4.70,-4.66,1
-2.49,-6.43,1
6.99,6.36,2
6.59,6.96,2
5.16,1.29,2
5.45,5.58,2
7.69,4.08,2
7.07,4.73,2
5.90,8.82,2
6.15,3.82,2
3.47,5.06,2
6.49,4.84,2
5.09,6.59,2
6.67,3.67,2
6.41,2.43,2
7.62,6.72,2
5.47,5.13,2
0.90,5.78,2
3.11,4.98,2
3.19,5.09,2
8.49,5.65,2
2.35,6.44,2
2.83,5.06,2
5.70,5.71,2
6.71,2.83,2
2.58,5.13,2
7.60,5.44,2
4.68,5.37,2
4.71,2.53,2
3.02,4.91,2
5.56,5.19,2
4.88,1.58,2
5.90,4.56,2
7.61,4.54,2
5.65,3.95,2
2.02,7.90,2
6.96,6.87,2
9.45,3.66,2
4.90,6.38,2
6.27,8.29,2
5.24,5.42,2
5.02,5.17,2
5.41,2.63,2
5.89,5.55,2
4.80,3.69,2
4.04,7.41,2
4.43,8.73,2
7.24,3.50,2
9.39,3.18,2
5.04,7.28,2
3.07,4.59,2
4.82,5.38,2
4.42,3.62,2
6.40,6.30,2
-0.01,4.83,2
4.17,7.94,2
2.66,4.05,2
7.66,3.87,2
3.50,1.78,2
4.87,-0.14,2
7.26,2.28,2
5.05,4.68,2
7.32,7.45,2
2.79,5.79,2
2.93,5.48,2
5.66,6.60,2
4.65,5.13,2
4.32,6.20,2
7.53,3.69,2
6.04,5.88,2
4.33,6.36,2
7.48,1.26,2
8.36,5.69,2
5.96,8.18,2
6.67,6.84,2
7.32,6.44,2
7.12,6.40,2
4.29,3.21,2
6.37,5.27,2
5.78,4.17,2
6.84,3.66,2
8.70,4.43,2
4.22,6.96,2
7.35,0.90,2
4.20,2.35,2
1.37,7.14,2
4.62,5.23,2
3.54,3.61,2
4.09,3.49,2
5.80,4.83,2
7.19,4.76,2
2.19,2.08,2
2.39,7.17,2
9.26,7.44,2
3.41,2.45,2
3.60,5.78,2
3.98,6.15,2
3.63,0.44,2
6.56,3.50,2
4.12,2.43,2
0.99,9.26,2
1.63,2.92,2
-5.38,6.60,3
-5.13,8.16,3
